sum(amount),fc(description),count(amount)
-75.7,ROCKY MOUNTAIN SENIOR CARE,1
-74.00999999999999,WALMART.COM,2
-69.86,PHARMACA,5
-68.75,Domestic,30
-52.75,PEARL MOBILE-601545,1
-51.64,TACO BELL,4
-48.96,MCGUCKIN HARDWARE,2
-47.99,CLOUDVAPES.COM,1
-46,PAI ISO,2
-43.75,BITTERSWEET,1
-43.75,EFT,1
-43.5,RTD BRT BLDR TRANSIT,7
-43.25,WG006022,1
-43,CHASE,1
-42.64,GRUBHUB MCDONALD'S,2
-41.73,LOGAN'S ESPRESSO CAFE,11
-40,US7ELEVEN-FCTI,1
-39.8,GRUBHUB BLACKJACK PIZZA,2
-39.14,ILLEGAL PETE'S,5
-39,GREAT CLIPS,1
-38.980000000000004,UNIVERSITY HILLS MARKET,4
-38.07,Subway,7
-37.980000000000004,BESTBUY,2
-37.98,PAYPAL SQUARECIRCU,2
-36.79,JACK IN THE BOX,1
-36.15,DOORDASH JETSPIZZA,1
-34.42,GRUBHUB KFC,2
-33.75,BOULDER ROOT-634825,1
-33.17,Amazon Prime,6
-30.67,['MDS'],1
-28.88,DOMINO'S PIZZA,1
-28.380000000000003,LINDSAY'S,3
-27.88,YOUANDMEE,1
-26.69,CELL VILLE,2
-26.14,LITTLE TIBET,3
-24.2,KIM'S FOOD TO GO,2
-23.75,BA Withdrawal,1
-23.3,VILLAGE MOBI-643038,1
-22.79,PAYPAL REI,1
-21.81,THE UNDERGROUND PIPES,1
-21.77,REI #44,1
-20.44,TIERRA Y FUEGO TAQUERIA,4
-19.94,KFC,1
-19.39,GRUBHUB FAT SHACK,1
-19.05,JINNYS MARKET,6
-18.86,SNOOZE,1
-18.83,BOVAS MARKET,3
-18.2,DOORDASH CARL'S JR.,1
-16.99,IHOP,1
-16.36,DASHMART,1
-14.95,COMCAST/XFINITY,1
-14.3,SMOKER FRIENDLY,2
-13.73,OZO COFFEE COMPANY,3
-13.45,SNARFS BURGER,1
-12.370000000000001,STARBUCKS,2
-11.82,B TOWN WINE + SPIRITS,1
-11.45,FREDDIE'S HOT DOGS,2
-10.63,FORMOSA BAKERY LLC,1
-10.59,SUBWAY,1
-10.32,AMK HC CAFE BCH,2
-10.25,PAYPAL JUSTANSWER,2
-10,PAYPAL GITHUB,1
-9.79,eBay,1
-9.37,SNARFS AT THE TABLE,1
-8.28,GOOGLE rhmsoft,2
-7.81,BASELINE LIQUOR,1
-6.52,GOOGLE PLAY,2
-6,CLINICA CAMPESINA FAMILY CLINIC,2
-5.76,TSE K&G,1
-5.44,THE FITTER,1
-5.43,LUCKY'S,1
-5.3100000000000005,ARAMARK,2
-5.18,GOOGLE MetaCtrl,1
-4.49,RIPPLE FROZEN YOGURT,1
-4.36,SWEET COW,1
-4.09,MOE'S BROADWAY BAGEL,1
-3.9,PIGTRAIN COFFEE,1
-3.62,GOOGLE SpRemote,1
-3.27,PEARL CONVENIENCE,1
-3.1,BREWING MARKET COFFEE,1
-3,FRONT RANGE LAUNDRY,2
-2.25,Direct Express®,3
-1,PAYPAL for INST XFER,1
-0.95,SPK SPOKEO SEARCH,1
0.3,SEI,1
0.31,PAYPAL for VERIFYBANK,2
9.79,eBay,1
30.38,AMZN Mktp,3
34.49,AT&T PREPAID,1
35.93,TARGET,1
42.5,HERSHEYS,1
44.919999999999995,TASKER ON TASKRABBIT,2
147.41,PAYPAL for TRANSFER,2
252.9,AMTRAK,1
261.26,Chitester Donald,3
381.38,AMAZON.COM,5
428.24,PAYPAL FACEBOOKPAY,4
670,WALGREEN'S STORE,2
996.05,KING SOOPERS,2
3050,kroger_ns,7
11747.7,Social Security,23
29548.74,CODHS,60
